Gender_sebelum,E-Paylater User Status,Educational Background,Year of Birth,Job Status,Monthly Income,Average monthly expenditure for online shopping in relation to monthly income,IBB1,IBB2,IBB3,IBB4,P1,P2,P3,P4,SI1,SI2,SI3,SI4,SI5,SI6,H1,H2,H3,H4,SC1,SC2,SC3 ,SC4 ,SC5,NE1,NE2,NE3,NE4,NE5,Age,Gender
1,1,2,1992,2,3,1,3,3,4,2,2,2,2,2,3,4,2,2,2,2,3,3,3,4,4,4,2,2,3,4,4,5,4,2,32,0
2,1,1,1983,1,1,1,3,1,2,2,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,3,3,4,2,3,3,3,4,41,1
1,1,1,1977,1,1,1,3,3,3,3,2,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,2,3,4,4,4,5,4,4,47,0
2,1,3,1996,2,6,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,28,1
2,1,1,2002,1,1,1,2,3,4,1,2,4,2,4,4,4,3,5,3,4,4,4,4,4,4,4,2,4,5,2,4,5,5,3,22,1
2,1,1,1983,1,1,1,2,2,4,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,5,5,5,4,5,41,1
2,1,1,1983,1,1,1,1,2,4,1,1,1,1,2,2,1,1,1,1,1,4,4,4,4,4,4,2,4,3,3,3,3,2,2,41,1
1,1,2,2003,1,1,1,3,2,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,21,0
2,1,1,2002,1,1,2,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,2,3,3,3,3,3,22,1
2,2,1,1998,1,2,2,3,2,2,2,3,4,1,2,4,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,5,4,5,26,1
2,2,1,1999,1,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,3,3,3,25,1
2,1,3,1981,2,3,1,4,2,4,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,3,3,3,5,4,4,3,3,43,1
1,1,4,2002,2,4,1,5,2,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,3,4,3,3,4,4,4,4,4,1,22,0
2,1,3,2001,2,6,1,3,2,2,1,1,1,1,1,1,2,1,1,1,1,4,4,3,3,4,4,4,4,5,5,5,5,3,4,23,1
2,1,3,1998,3,6,2,2,2,2,1,2,2,2,2,4,1,1,1,1,2,4,3,4,3,4,4,4,4,4,2,2,2,2,1,26,1
1,1,3,2000,2,5,1,1,1,3,1,1,2,1,2,2,1,1,1,1,1,3,2,3,4,4,4,3,3,4,5,4,4,3,3,24,0
2,1,1,1989,1,1,1,4,3,2,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,3,3,4,4,4,3,4,35,1
2,1,1,2003,1,1,1,2,3,4,5,2,2,2,5,3,2,1,1,1,4,4,4,3,3,5,4,3,3,4,4,4,3,5,5,21,1
2,2,3,2000,2,1,1,3,3,4,2,2,4,1,1,3,2,3,2,3,3,4,3,4,3,4,3,2,2,2,3,2,5,4,2,24,1
2,1,4,2000,2,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,5,4,4,5,5,5,24,1
2,2,1,2003,1,2,1,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,3,3,5,5,5,5,5,21,1
2,1,1,2000,1,1,2,2,1,1,4,1,4,2,4,3,2,2,2,3,3,5,5,5,5,3,3,3,2,3,4,4,4,5,5,24,1
2,2,1,2003,1,1,2,4,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,2,2,2,2,3,3,3,3,21,1
2,2,3,1998,2,4,3,4,5,1,4,2,4,5,5,5,5,4,5,4,5,5,2,2,3,4,5,4,2,1,4,5,2,2,1,26,1
2,2,1,2001,2,3,2,2,3,5,1,4,4,2,2,2,2,2,2,2,2,4,4,4,4,5,5,1,2,3,5,5,5,5,3,23,1
2,1,1,2002,1,1,1,3,4,3,2,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,3,2,3,2,2,2,2,3,22,1
2,1,4,2001,2,3,2,4,4,3,2,2,2,2,2,1,1,2,1,1,1,4,4,4,4,4,4,3,5,4,3,3,3,2,2,23,1
2,1,2,2003,1,1,1,3,5,5,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,5,4,3,3,3,3,3,3,1,1,21,1
2,1,1,2001,1,1,1,4,4,4,3,4,4,4,4,4,2,2,4,1,3,4,4,4,4,5,4,3,2,2,3,3,2,4,1,23,1
2,1,3,1999,2,6,1,2,2,2,2,2,2,2,2,3,3,3,3,2,2,4,4,4,4,4,4,2,3,3,3,3,2,3,3,25,1
2,1,1,2000,3,3,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,2,3,3,5,5,5,5,5,24,1
2,2,3,2002,2,3,1,2,4,4,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,2,3,3,4,4,4,3,3,22,1
1,1,4,1998,2,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,26,0
2,1,3,2001,3,6,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,2,3,3,4,4,4,3,4,23,1
2,1,2,2000,2,3,1,4,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,4,4,3,3,2,3,3,5,5,4,5,2,24,1
2,1,4,2001,2,6,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,3,3,4,4,4,4,3,23,1
1,1,3,1987,2,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,4,4,4,4,4,4,5,5,4,5,37,0
1,2,4,2002,4,6,2,5,3,2,5,5,4,5,4,5,5,4,5,3,5,4,5,5,4,4,5,1,3,1,1,2,4,5,4,22,0
2,1,1,2005,1,1,1,4,3,3,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,2,2,1,2,1,1,1,19,1
2,2,3,2000,2,2,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,24,1
2,1,4,1999,2,5,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,3,3,3,2,25,1
2,1,3,2000,4,2,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,4,4,4,4,5,5,4,4,4,4,4,3,3,24,1
2,1,1,2004,1,1,1,3,3,4,3,4,4,2,4,3,2,2,2,2,2,4,4,4,4,4,3,3,4,4,4,4,4,2,3,20,1
2,2,1,2000,1,2,2,4,2,3,4,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,2,3,3,4,4,4,3,3,24,1
2,1,1,2000,1,1,2,4,5,4,3,2,2,2,2,2,2,2,2,2,2,4,3,4,3,3,4,2,2,2,3,4,4,4,4,24,1
2,1,3,2001,1,2,1,1,2,2,1,3,3,3,3,2,2,2,3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,5,23,1
2,1,1,2002,1,1,1,2,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,22,1
1,1,1,1995,1,1,3,4,4,4,4,3,3,3,3,3,4,5,5,4,4,4,3,3,3,4,5,3,3,4,4,3,3,3,4,29,0
1,1,1,2002,1,1,2,3,2,2,1,1,1,1,1,2,2,2,2,2,2,4,4,4,5,4,4,2,2,2,2,2,4,5,5,22,0
1,2,1,2002,1,2,1,3,3,4,3,3,4,4,3,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,4,2,3,3,4,22,0
2,1,1,1990,1,1,1,3,2,2,3,2,2,2,2,1,1,1,1,1,1,4,4,4,4,4,3,3,3,4,4,3,3,3,3,34,1
1,1,4,2003,2,6,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,4,3,3,4,3,3,3,3,3,21,0
1,2,3,2001,1,1,2,2,2,3,2,2,2,2,2,3,2,2,1,2,2,4,3,4,4,4,4,3,3,4,3,2,4,4,3,23,0
1,1,1,1999,1,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,3,3,3,3,3,4,3,3,2,2,25,0
1,1,3,2002,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,2,2,3,3,4,2,22,0
1,2,3,1997,2,4,1,4,4,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,3,4,4,4,3,27,0
2,1,1,2003,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,2,2,2,5,5,5,5,5,21,1
1,1,2,2003,1,1,1,4,5,2,4,3,3,5,5,4,2,4,5,5,2,4,5,2,4,4,5,4,2,1,1,2,4,5,2,21,0
1,1,3,1997,1,1,2,4,4,4,5,1,2,2,2,3,3,3,3,2,2,4,4,4,4,4,5,3,3,4,5,5,5,4,3,27,0
1,2,3,2004,2,5,1,2,3,1,1,1,1,1,1,4,4,4,2,1,3,3,3,3,3,4,4,4,3,5,5,4,4,5,5,20,0
2,1,1,2003,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,4,2,2,3,3,3,3,2,3,21,1
1,1,1,2002,1,1,1,5,4,3,1,1,1,4,4,4,2,2,2,2,2,5,5,5,5,5,5,1,2,4,1,2,2,2,2,22,0
2,2,3,1981,2,6,1,4,5,2,4,5,5,2,4,5,2,4,5,3,5,3,5,3,5,4,2,2,1,3,5,4,5,3,5,43,1
1,1,3,2004,2,5,1,3,3,3,3,4,4,3,4,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,4,2,2,2,2,20,0
1,1,4,1987,1,3,1,4,2,3,2,2,2,2,2,3,3,3,4,2,3,3,3,3,3,5,5,4,4,4,1,1,1,1,1,37,0
1,1,2,1996,1,1,1,4,5,2,4,3,3,5,5,4,2,4,5,5,2,4,5,2,4,4,5,4,2,1,1,2,4,5,2,28,0
1,1,1,2002,1,1,1,4,4,4,1,2,2,2,2,2,3,2,2,2,2,4,4,5,5,5,5,4,4,4,5,5,5,5,5,22,0
1,1,4,1981,2,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,1,2,1,43,0
2,1,1,1992,1,2,2,4,2,3,1,3,3,3,2,3,4,4,5,5,4,4,4,4,5,3,3,3,4,4,3,5,3,3,3,32,1
2,1,1,1989,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,4,3,2,2,3,2,2,2,1,1,35,1
2,2,1,2002,1,1,1,3,2,2,2,3,4,4,4,4,2,4,2,2,2,3,3,4,3,4,4,3,3,4,2,1,1,1,1,22,1
2,1,3,1999,4,3,1,2,2,2,1,1,1,1,1,1,4,1,3,1,3,4,3,4,3,5,4,4,4,4,3,3,4,5,3,25,1
1,1,4,1985,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,5,39,0
1,1,1,1996,1,1,1,3,2,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,1,1,2,2,2,1,2,1,1,1,28,0
2,1,4,1999,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,4,4,3,4,3,5,5,1,3,3,3,3,25,1
2,1,2,2002,1,1,1,4,3,1,4,1,1,1,1,1,1,1,1,1,1,3,2,2,3,4,4,2,2,2,4,5,4,3,5,22,1
2,1,3,2002,2,6,4,5,5,5,5,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,3,2,2,2,5,3,3,1,1,22,1
2,1,4,2002,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,3,4,4,4,4,3,22,1
2,1,4,1978,2,5,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,3,4,3,1,1,5,5,5,4,4,4,4,4,46,1
1,1,3,1995,2,6,1,4,4,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,3,4,4,2,3,3,3,2,29,0
2,1,1,1989,1,1,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,2,3,3,3,3,3,35,1
1,1,1,1985,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,4,4,4,4,4,39,0
1,1,4,2003,2,5,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,4,4,4,2,4,2,2,3,3,4,21,0
2,2,3,2001,2,3,3,3,4,3,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,2,2,2,3,1,23,1
1,2,3,2003,2,4,2,4,3,3,2,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,2,4,4,2,4,5,3,4,21,0
2,2,3,2001,2,6,1,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,4,4,3,3,3,23,1
2,1,3,2003,2,5,1,4,3,3,3,1,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,5,4,5,5,3,21,1
2,1,3,2002,2,4,1,3,3,5,1,3,3,3,2,2,2,2,2,2,2,4,4,4,4,4,4,2,3,3,4,3,4,3,3,22,1
2,1,3,1990,2,3,2,4,4,4,4,2,2,2,2,2,2,2,1,1,1,4,4,4,4,4,4,3,4,5,4,4,4,4,4,34,1
2,1,4,1997,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,5,5,5,5,5,5,1,3,4,27,1
2,1,2,2003,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,2,1,2,3,2,2,21,1
2,1,1,2002,1,1,1,5,3,3,3,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,3,4,3,3,4,22,1
1,1,4,2002,2,4,2,4,4,4,3,1,1,1,1,2,1,1,1,1,1,3,3,3,3,4,4,2,2,3,4,4,4,4,5,22,0
2,1,1,1969,1,1,1,2,2,4,4,1,1,1,1,2,2,2,2,2,2,5,4,5,4,3,3,2,2,2,5,5,4,4,4,55,1
1,1,1,1977,1,1,1,2,1,3,2,1,3,1,5,2,2,3,2,1,1,1,3,3,1,3,3,5,4,4,3,2,4,2,3,47,0
1,1,1,1978,1,1,2,4,3,4,3,1,1,1,1,4,3,1,2,2,2,4,4,4,4,5,5,1,1,1,3,4,4,4,4,46,0
2,2,2,1989,1,1,3,3,1,3,3,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,3,3,5,3,4,4,3,4,35,1
2,1,1,1999,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,3,4,2,5,4,3,5,4,5,5,5,5,4,25,1
2,2,2,1993,3,3,1,2,2,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,4,4,4,2,4,31,1
2,1,3,2002,1,2,2,4,4,4,4,2,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,3,2,3,3,3,3,3,2,22,1
2,1,3,1995,1,1,1,3,3,4,3,2,2,3,4,2,4,2,2,2,2,3,3,3,3,3,3,2,2,3,3,3,2,3,2,29,1
2,2,3,2002,2,3,1,2,2,2,1,4,4,4,4,4,2,2,4,2,2,4,2,4,2,4,4,4,4,4,5,5,5,5,5,22,1
1,1,3,1990,2,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,2,2,5,5,5,5,5,5,34,0
2,1,1,1983,1,1,1,3,3,4,1,2,2,2,2,3,3,3,3,3,3,3,3,4,3,4,4,2,2,2,5,5,5,5,5,41,1
2,1,4,1994,2,4,1,2,2,2,2,2,2,2,2,3,2,2,3,2,3,4,4,4,4,4,4,4,3,3,5,4,4,3,3,30,1
1,1,1,1991,1,1,1,3,2,2,4,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,4,3,4,4,5,5,5,5,5,33,0
2,1,1,1993,1,1,1,2,3,4,2,3,4,3,4,3,2,3,3,2,3,4,3,4,3,4,4,3,4,5,3,3,3,4,2,31,1
1,1,3,2002,1,2,1,3,3,3,5,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,2,2,3,2,3,2,4,4,22,0
2,2,1,1992,1,2,1,3,3,3,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,2,3,4,4,5,2,4,32,1
1,1,1,1984,1,2,2,4,4,4,4,2,2,2,2,3,4,3,4,4,4,4,4,4,4,4,4,2,2,2,2,3,4,4,4,40,0
2,1,1,1980,1,2,1,3,4,4,4,3,4,5,5,3,4,4,4,4,3,5,5,5,5,4,4,2,3,3,5,3,4,4,3,44,1
1,1,1,1995,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,3,3,4,5,4,4,5,4,29,0
2,1,1,2002,1,1,1,3,1,3,1,1,1,1,1,2,2,1,1,1,2,4,4,4,4,5,5,1,5,5,2,2,2,3,3,22,1
2,1,1,1996,1,2,2,3,2,2,2,1,2,2,2,3,2,4,4,3,4,4,4,4,4,3,4,3,2,2,3,3,2,2,4,28,1
2,2,3,2002,2,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,3,3,3,3,22,1
1,1,1,1977,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,3,2,4,4,4,5,4,47,0
1,1,2,1988,2,3,1,2,1,4,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,1,3,5,5,3,5,3,3,36,0
1,2,4,2002,2,2,4,3,3,5,3,5,5,3,3,2,3,3,2,2,2,4,4,4,4,4,4,3,2,3,5,5,5,5,5,22,0
2,2,3,1994,2,6,3,5,5,4,4,3,4,3,4,2,2,2,2,2,2,4,4,4,4,2,3,3,3,3,3,3,3,3,3,30,1
1,1,3,1980,1,1,1,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,3,3,3,3,44,0
2,2,1,1994,3,3,2,2,2,2,2,4,4,3,3,2,3,3,1,2,2,4,3,3,3,4,4,3,4,4,5,4,4,4,4,30,1
2,1,1,1977,1,1,1,3,4,4,2,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4,4,3,2,3,5,5,5,3,3,47,1
2,1,1,2002,1,1,1,4,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,2,2,2,1,1,1,1,1,22,1
1,1,3,1977,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,4,4,4,3,2,2,1,3,47,0
1,1,4,1978,2,3,1,2,1,4,1,2,2,2,2,3,4,3,3,3,3,4,4,4,4,4,4,2,3,4,5,5,5,4,4,46,0
1,1,3,1988,2,6,2,3,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,4,3,3,36,0
2,1,3,1972,2,5,3,1,2,3,2,1,1,1,1,1,1,1,1,1,1,4,3,3,3,5,5,4,4,5,5,5,5,1,3,52,1
2,1,4,1979,2,5,1,3,2,2,1,1,1,1,1,2,2,2,2,2,2,3,3,2,2,5,5,4,5,5,4,4,4,3,3,45,1
2,1,3,1984,2,4,2,4,2,4,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,40,1
2,1,1,1969,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,4,3,4,5,4,4,5,3,55,1
2,1,2,1979,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,5,2,4,5,4,3,5,4,2,45,1
2,2,4,1990,2,2,2,4,4,2,2,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,2,2,4,4,4,5,5,34,1
1,2,1,1979,1,1,2,4,4,5,3,3,3,3,2,3,5,4,1,3,4,3,4,3,4,1,3,1,1,1,5,4,5,5,5,45,0
1,2,3,1974,1,1,1,4,3,4,3,4,4,4,4,4,4,4,4,4,4,2,3,1,1,2,4,2,2,1,2,3,4,4,3,50,0
1,2,3,1981,2,6,1,2,2,3,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,4,3,3,43,0
2,1,1,1979,1,1,1,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,3,3,3,3,3,45,1
2,1,4,2002,2,6,3,2,2,2,2,1,1,1,1,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4,3,3,22,1
2,2,1,1979,1,2,1,3,3,3,3,4,4,3,4,5,5,5,4,1,4,5,5,5,4,4,4,3,4,4,4,4,4,3,2,45,1
2,1,1,1978,1,1,1,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,5,5,5,3,3,3,3,3,4,4,3,4,4,46,1
2,1,3,2002,2,5,2,3,2,4,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,3,2,3,3,4,5,4,2,3,22,1
2,2,1,1994,1,2,1,4,3,1,4,4,4,4,5,3,2,4,3,3,3,3,3,2,3,1,4,2,3,5,2,3,1,2,3,30,1
2,1,3,1973,1,1,3,4,4,2,4,2,2,2,2,2,2,2,2,2,2,4,3,3,4,4,4,2,3,3,4,3,3,4,3,51,1
1,1,3,1973,2,4,1,2,2,2,1,1,3,2,3,3,3,3,3,4,3,4,4,4,4,4,4,3,3,3,4,4,3,4,3,51,0
2,1,1,1978,1,1,1,1,1,2,1,4,4,3,3,1,1,1,1,1,1,3,2,2,2,4,4,3,2,4,1,1,5,4,5,46,1
2,1,1,1987,1,1,1,2,2,2,2,2,2,2,2,3,1,1,1,1,1,4,3,4,3,5,4,2,3,3,5,5,4,5,3,37,1
1,1,3,1982,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,4,4,4,5,5,5,5,3,42,0
2,1,4,1974,2,6,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,4,4,4,2,4,3,3,4,3,3,50,1
2,1,4,1970,2,5,1,3,3,3,3,2,2,2,2,3,2,2,2,2,2,4,4,3,3,4,4,3,3,3,2,2,2,2,2,54,1
1,1,4,2002,2,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,3,4,4,3,4,3,3,5,3,3,2,3,3,22,0
1,1,4,1975,2,4,1,4,4,4,3,2,2,2,2,2,3,3,3,2,2,4,4,4,3,4,4,3,3,4,3,3,2,3,2,49,0
2,1,3,1973,3,3,1,2,2,2,2,1,1,1,1,2,4,3,3,3,3,2,2,2,2,4,4,2,2,3,3,2,3,3,3,51,1
2,1,3,2002,2,4,1,4,4,4,3,2,2,2,2,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,3,3,22,1
1,2,3,1996,2,6,1,3,3,4,2,4,4,2,4,4,4,4,4,3,3,3,3,3,3,4,4,3,2,3,3,3,3,3,3,28,0
2,2,1,1971,1,1,1,3,3,2,2,1,1,1,1,1,1,1,2,1,1,4,4,4,4,3,3,3,3,3,3,2,4,4,3,53,1
2,1,4,1979,2,5,1,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,4,4,1,4,3,45,1
2,1,1,1983,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,2,2,2,4,4,4,4,4,41,1
2,1,1,1984,1,1,2,5,3,3,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,1,1,1,1,2,1,2,1,40,1
2,1,2,1978,1,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,3,3,3,3,3,46,1
1,2,2,1978,2,4,1,4,5,2,4,5,1,4,5,5,3,5,5,4,4,5,5,2,3,4,5,4,2,1,4,5,2,3,1,46,0
1,2,4,1979,2,6,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,3,3,5,5,5,5,5,3,1,3,3,1,45,0
2,1,3,1978,2,4,1,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,5,5,5,5,4,46,1
2,1,4,1999,2,6,2,4,3,3,3,3,3,3,3,3,2,2,2,2,2,4,4,4,4,3,3,2,3,3,3,3,3,3,2,25,1
2,2,4,1979,2,3,1,4,2,4,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,4,4,2,2,2,3,3,3,3,3,45,1
